name ra dec hostra_ghost hostdec_ghost hostra_sherlock hostdec_sherlock transient_sep_ghost sep_L2arcsec_ghost transient_sep_sherlock sep_L2arcsec_sherlock sep_host_ghost_v_sherlock sep_L2arcsec_host_ghost_v_sherlock
2020koi 195.0791390459347 -4.517182922674836 195.0791297 -4.5171467 195.0791498 -4.5171074 0.1347945 True 0.2746092 True 0.1587358 True
2020kon 188.37382840970318 10.39055410212673 188.3717546 10.3868301 188.3717450 10.3868294 15.2856441 False 15.3045315 False 0.0341495 True
2020kop 184.0769929102977 10.35686004880888 -99.0000000 -99.0000000 184.0769383 10.3568465 -99.0000000 False 0.1996146 True -99.0000000 False
2020kpf 189.57941697993252 -0.7166351679461331 -99.0000000 -99.0000000 189.5794276 -0.7166042 -99.0000000 False 0.1178766 True -99.0000000 False
2020kpk 228.273564962676 13.9299520916073 228.2730322 13.9300234 228.2730323 13.9300218 1.8791819 True 1.8780817 True 0.0055909 True
2020kpm 239.996958333333 32.5427138888889 239.9962207 32.5425034 239.9961924 32.5425143 2.3633459 False 2.4328566 False 0.0943134 True
2020kpp 244.71589337788495 23.726320095679988 244.7189004 23.7275172 244.7157377 23.7262797 10.8066983 False 0.5333127 True 11.3354337 False
2020kps 150.67423827331976 3.012065692519913 150.6742038 3.0120696 150.6741944 3.0120461 0.1247487 True 0.1726828 True 0.0912706 True
2020kpt 135.29870293458154 27.849508079651866 135.2986031 27.8494597 135.2986441 27.8494708 0.3625226 True 0.2304263 True 0.1366404 True
2020kpv 237.42015458585524 27.484857443056242 237.4203929 27.4846436 237.4203916 27.4846417 1.0825131 True 1.0846774 True 0.0078436 True
2020kpz 187.73105910343466 9.152848157589641 187.7304103 9.1511192 187.7304080 9.1512420 6.6375008 False 6.2280551 False 0.4420136 True
2020kqb 235.0508028504938 14.284372532038804 235.0515661 14.2829883 235.0504087 14.2835705 5.6501015 False 3.1979047 False 4.5496325 False
2020kql 142.730333333333 35.0604305555556 142.7303535 35.0604921 -99.0000000 -99.0000000 0.2295609 True -99.0000000 False -99.0000000 False
2020kqn 126.040476317733 49.5234807747066 126.0405175 49.5235119 -99.0000000 -99.0000000 0.1478496 True -99.0000000 False -99.0000000 False
2020kqz 228.109197554013 -1.77413906104213 228.1092031 -1.7741766 228.1091913 -1.7741941 0.1365200 True 0.1995410 True 0.0761960 True
2020kre 197.62446580776802 -1.314179862721808 197.6246884 -1.3141569 197.6246731 -1.3141876 0.8054787 True 0.7467005 True 0.1235455 True
2020kry 196.714192744022 21.1139309293117 196.7140458 21.1139868 -99.0000000 -99.0000000 0.5328375 True -99.0000000 False -99.0000000 False
2020kuv 197.4332093992711 -1.2933886837203128 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2020kuw 215.24893830323418 39.24237441268345 215.2488186 39.2424817 215.2488253 39.2424680 0.5103541 True 0.4611833 True 0.0527997 True
2020kux 141.59725 -13.9319333333333 141.5972603 -13.9320099 141.5972853 -13.9320141 0.2780866 True 0.3157548 True 0.0886366 True
2020kuy 194.1352375 17.7531611111111 -99.0000000 -99.0000000 -99.0000000 -99.0000000 -99.0000000 False -99.0000000 False -99.0000000 False
2020kva 184.466226834616 21.1140140873924 184.4685474 21.1138353 -99.0000000 -99.0000000 7.8198148 False -99.0000000 False -99.0000000 False
2020kvb 219.925061895041 38.421699178051 219.9249060 38.4215102 219.9333604 38.4217616 0.8099666 True 23.4066132 False 23.8624509 False
2020kvc 193.964064369776 -3.80112564031247 193.9638362 -3.8013617 193.9638592 -3.8013607 1.1807554 True 1.1220881 True 0.0827757 True
2020kvd 202.744515902409 34.9160008610261 202.7467238 34.9158608 202.7466792 34.9158220 6.5372402 False 6.4182315 False 0.1920786 True
2020kvf 202.95590166979503 30.542808168873268 -99.0000000 -99.0000000 202.9557500 30.5424700 -99.0000000 False 1.3050747 True -99.0000000 False
