ztf_object_id,has_tns,tns_cls,spec_z,report_group
ZTF21aagdgxu,No_TNS,None,-99.0,None
ZTF18aanqsdl,No_TNS,None,-99.0,None
ZTF18abumuge,No_TNS,None,-99.0,None
ZTF20acqvcpc,No_TNS,None,-99.0,None
ZTF18acjgmpr,No_TNS,None,-99.0,None
ZTF19aanyujf,No_TNS,None,-99.0,None
ZTF18aabdutk,No_TNS,None,-99.0,None
ZTF18aaavrzf,No_TNS,None,-99.0,None
ZTF19aagnhqv,No_TNS,None,-99.0,None
ZTF20acloxjp,No_TNS,None,-99.0,None
ZTF20aacynxq,No_TNS,None,-99.0,None
ZTF18aakjslm,No_TNS,None,-99.0,None
ZTF19ablkoni,No_TNS,None,-99.0,None
ZTF21aafkpqb,No_TNS,None,-99.0,None
ZTF19aayuxpq,Yes_TNS,None,-99.0,ZTF
ZTF18aamydmm,No_TNS,None,-99.0,None
ZTF18aaemoxd,No_TNS,None,-99.0,None
ZTF18abihjwv,No_TNS,None,-99.0,None
ZTF19adcflsn,No_TNS,None,-99.0,None
ZTF18abrlhnm,No_TNS,None,-99.0,None
ZTF21aaqcipz,No_TNS,None,-99.0,None
ZTF20aalkpps,No_TNS,None,-99.0,None
ZTF18abamoiy,No_TNS,None,-99.0,None
ZTF20acpytgq,No_TNS,None,-99.0,None
ZTF18acdghoa,No_TNS,None,-99.0,None
ZTF18acecttf,No_TNS,None,-99.0,None
ZTF21aaokuvm,No_TNS,None,-99.0,None
ZTF18abtnfkm,No_TNS,None,-99.0,None
ZTF21aapkzqg,Yes_TNS,None,-99.0,ALeRCE
ZTF21aaoijsw,No_TNS,None,-99.0,None
ZTF20abxtjop,No_TNS,None,-99.0,None
ZTF20aavgvjn,No_TNS,None,-99.0,None
ZTF21aantlex,Yes_TNS,None,-99.0,ALeRCE
ZTF20aatfefp,No_TNS,None,-99.0,None
ZTF18abjttli,No_TNS,None,-99.0,None
ZTF18abkvguy,No_TNS,None,-99.0,None
ZTF21aaehcma,Yes_TNS,None,-99.0,ALeRCE
ZTF21aaeoubq,Yes_TNS,None,-99.0,ATLAS
ZTF19abiweih,Yes_TNS,None,-99.0,ZTF
ZTF19aascqvv,No_TNS,None,-99.0,None
ZTF18abacdrk,No_TNS,None,-99.0,None
ZTF20aczahzi,Yes_TNS,None,-99.0,ALeRCE
ZTF19aaiuhbn,No_TNS,None,-99.0,None
ZTF20acwcqnv,Yes_TNS,SN Ia,0.09,ALeRCE
ZTF18acnavjp,No_TNS,None,-99.0,None
ZTF18ackrdls,No_TNS,None,-99.0,None
ZTF20aajcvvv,No_TNS,None,-99.0,None
ZTF21aabfxqn,Yes_TNS,None,-99.0,ATLAS
ZTF21aaepnhw,No_TNS,None,-99.0,None
ZTF20abyptpc,Yes_TNS,SN Ia,0.01335,ZTF
ZTF20acvblkk,Yes_TNS,None,-99.0,ZTF
