ztf_object_id,ann=0_tns_cls,ann=1_tns_cls,ann=2_tns_cls,ann=3_tns_cls,ann=4_tns_cls,ann=5_tns_cls,ann=6_tns_cls,ann=7_tns_cls,ann=8_tns_cls,ann=9_tns_cls
ZTF18acbwgeg,None,SN Ia,None,None,None,SN Ia,SN Ia,SN Ia,None,None
ZTF18acbwgej,None,None,None,None,None,None,None,None,None,None
ZTF18acbwgfw,SN Ia,SN II,None,None,SN Ia,None,None,None,None,None
ZTF18acbxjaa,None,None,None,None,None,None,None,None,SN II,None
ZTF18acbxqyz,None,None,SN Ic,SN Ia,SN Ia-91T-like,None,None,None,SN II,None
ZTF18acbxvom,None,None,None,None,None,SN Ia,SN Ia,None,None,None
ZTF18acbyarn,None,None,None,None,None,SN Ia,None,None,None,None
ZTF18acbybyq,SN Ia,SN Ia,SN II,None,None,None,None,None,None,SN Ia
ZTF18acbygcu,None,None,None,SN Ia-CSM,None,None,None,None,None,None
ZTF18acbyqdo,SN Ia,None,None,SN II,None,None,None,SN Ia,None,None
ZTF18acbyyff,None,None,None,None,None,SN IIb,None,SN Ia,TDE,SN Ia
ZTF18acbznnc,None,None,None,SN Ia,SN Ia,SN Ia,None,SN II,None,None
ZTF18acbzpgy,None,None,None,None,SN IIP,None,None,None,SN Ia,SN Ibn
ZTF18acbzpmu,None,None,None,None,SN Ia,None,None,None,None,None
ZTF18acbzqlw,None,None,SN Ia,None,None,None,SN Ia,None,None,None
ZTF18acbzqoc,None,None,None,None,SN Ia,None,None,SN Ia,None,SN Ia
ZTF18accbexr,None,None,None,None,None,SN Ia,None,None,None,None
ZTF18acceqcc,None,None,None,None,None,None,None,None,None,None
ZTF18accfxnn,None,None,None,None,None,None,None,None,None,None
ZTF18acchhpe,None,SN Ia,None,None,SN Ia,None,None,SN Ia,None,SN Ia
ZTF18acchhpf,None,None,SN Ia,None,None,None,None,None,SN Ia,None
ZTF18acchhxu,None,None,None,None,None,SN Ia,None,None,SN Ia,SN Ia
ZTF18acchzkn,None,SN Ic-BL,None,None,SN Ia,None,None,None,SN Ia,None
ZTF18accicnc,None,None,None,None,None,None,SN Ia,None,None,None
ZTF18accjwwv,None,None,None,None,None,None,None,None,None,None
ZTF18acckqig,None,None,None,None,None,None,None,None,SN Ia,None
ZTF18acclaad,SN II,None,None,None,None,SN Ia,TDE,None,SN Ia,None
ZTF18accngxc,None,SN Ia,None,None,None,None,None,SN II,None,None
ZTF18accnimo,None,None,None,SN Ia,None,None,None,None,None,None
ZTF18accnlml,SN Ia,AGN,None,SN Ia,None,None,None,None,None,None
ZTF18accrorf,None,None,None,None,None,SN Ia,SN Ia-91bg-like,None,None,None
ZTF18accsakm,None,None,None,None,None,None,None,None,None,None
ZTF18accupqk,None,SN Ia,None,SN Ia,None,None,None,None,SN Ia,SN Ia
ZTF18accvkom,None,None,None,None,SN Ia,SN Ia,None,SN Ia,SN Ia,None
ZTF18accvmgs,None,None,SN Ia,None,None,None,None,None,None,None
ZTF18accwcth,None,None,SN Ia,None,None,SN II,None,None,None,None
ZTF18accwihs,None,None,None,None,None,None,None,None,None,None
ZTF18acdvnym,None,None,None,None,SN Ia,None,SN Ia,None,None,None
ZTF18acdxzkw,SN Ia,None,None,SN Ia,None,None,None,SN Ia,None,None
ZTF18acdyypo,None,None,None,None,None,None,None,SN Ia,None,None
ZTF18acdzehd,None,None,None,None,None,None,None,None,None,None
ZTF18acdzins,None,None,None,SN Ia,None,None,SN I,None,None,None
ZTF18aceacqp,None,None,None,None,None,None,None,None,None,None
ZTF18aceahjt,None,None,None,None,None,None,SN Ia,None,None,SN Ib
ZTF18aceauja,SN II,None,SN IIn,None,None,None,None,None,None,None
ZTF18acebssa,None,None,SN Ia,None,None,SN Ia,SN Ia,SN Ia,None,SN Ib
ZTF18acehihc,None,None,SN II,None,None,None,None,SN Ib,None,SN IIn
ZTF18acehjtj,None,None,None,None,None,None,SN II,None,None,SN II
ZTF18acehmje,None,None,None,None,None,SN Ia,None,SN Ia,None,None
ZTF18aceifag,None,None,None,None,None,SN IIn,None,None,None,SN Ia
ZTF18aceivui,None,None,None,None,None,None,None,None,None,SN II
ZTF18acejcjh,None,None,None,None,None,None,None,None,None,None
ZTF18acejgrz,None,None,None,None,None,None,SN Ia,None,SN Ia,None
ZTF18acejmzn,None,None,None,None,None,None,SN Ia,None,SN IIn,None
ZTF18aceokyk,None,None,None,None,None,None,SN Ic,None,None,None
ZTF18acepbxq,None,None,SN Ia,SN II,None,None,SN Ia,SN Ia,SN Ia,AGN
ZTF18acepfmz,None,None,None,None,None,None,SN Ia,None,None,None
ZTF18acepswl,None,SN Ia-91T-like,None,None,SN Ia,None,SN Ia-91T-like,None,None,None
ZTF18acepuyx,None,SN Ia,None,None,None,SN Ia,None,None,None,None
ZTF18acepxke,None,SN Ia,None,SN IIb,None,SN Ia,None,None,SN II,None
ZTF18aceqcag,None,None,SN Ia,SN Ia,SN Ia,SN II,SN Ia,None,None,None
ZTF18aceqesk,None,SN Ia,None,SN Ia,None,None,SN Ic-BL,None,None,None
